,subj,sex,age,CloseFriendsG1,CloseFriendsG2,CloseFriendsG3,CloseFriendsG4,CloseFriendsG5,CloseFriendsG6,NumberFriendsG1,intl,vocal,classical,folk,rock,country,pop,alternative,hiphop,unclassifiable,Pop1,Pop2,Pop3,Pop4,Pop5,Common1,Common1.1,Common2,Common3,Common4,Tech1,Tech2,Common5,Common6,Tech3,Tech4,Common7,Tech5,Common8,Common9,Common10,Common11,Common12,Common13,Tech6,Tech7,Common14,Common15,Common16,Common17,Common18,Common19,Tech8,Common20,Tech9,Tech10,Common21,Common22,Common23,Common24,Tech11,Tech12,Tech13,Tech14,Tech15,Common25,Common26,Tech16,Common27,Common28,Tech17,Common29,Common30,Tech18,Tech19,Common31,Common32,Common33,Tech20,Common34,Tech21,Common35,Common36,Common37,Tech22,Tech23,Tech24,Tech25,Common38,Common39
1,p1,Female,20,7,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,53,5,1,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,5,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,5,1,5,1,1,5,5,1,1,1,1,1,1,1,4
2,p10,Female,18,8,2,1,0,0,0,7,0,0,0,0,0,0,0,2,2,0,61,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
3,p11,Female,18,1,0,0,14,0,0,0,15,0,0,0,0,0,0,0,0,0,23,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,1,5,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1
4,p13,Female,42,9,0,0,0,0,0,5,0,1,0,2,8,0,0,2,1,0,21,5,2,1,4,1,4,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,1,5,1,1,1,5,1,4,1,1,1,1,1,1,1,1,2,5,3,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,5,1,5,3,5,1,1,1,1,1,1,1,1
5,p14,Female,21,6,0,0,1,0,0,0,0,0,4,0,3,3,0,1,3,0,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,1,1,5,5,1,5,1,1,1,1,1,1
6,p15,Female,20,9,3,2,3,0,0,3,0,0,0,0,1,3,3,2,7,0,28,5,5,1,4,6,1,4,1,1,1,1,5,1,5,1,1,1,1,1,4,5,5,1,1,1,5,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,1,1,5,1,5,1,1,1,5,1,1,1,1,1,1,1,5
7,p16,Female,21,0,0,0,6,0,0,5,0,0,0,0,0,0,2,1,4,0,6,5,1,1,4,2.5,1,1,1,3,1,1,5,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,5,5,1,5,1,1,1,1,1,1
8,p17,Male,18,13,0,0,0,0,0,4,0,1,0,0,1,0,3,4,1,0,15,5,1,1,4,5,5,1,1,1,1,1,1,5,2,1,1,5,5,1,4,1,5,2,1,1,1,1,1,1,5,1,1,4,1,2,4,1,1,3,1,1,5,1,1,1,1,1,1,1,1,3,1,1,1,5,3,5,1,1,1,5,1,5,1,1,1,1,1,1
9,p18,Female,18,6,1,0,1,0,0,3,0,0,0,1,7,0,0,2,6,0,27,5,1,1,3,2,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,5,1,5,1,1,1,1,1,1
10,p19,Female,20,4,2,0,0,1,0,2,0,3,0,0,0,0,4,2,0,1,28,5,1,1,4,3,2,1,1,1,1,1,5,5,1,1,1,5,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,5,1,3,1,1,1,5,1,5,1,1,1,5,5,1,1,1,1,1,1,5
11,p2,Female,18,6,0,1,1,1,0,3,0,0,0,0,0,0,1,2,0,0,7,4,1,1,4,2.5,5,1,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,5,1,5,1,1,1,1,1,5
12,p20,Female,18,1,1,0,0,3,0,15,0,0,0,0,0,0,2,0,8,0,61,5,1,1,3,6,4,3,1,1,1,5,5,4,5,1,1,1,5,1,4,5,5,1,3,1,4,1,1,1,5,5,1,5,1,1,1,5,1,4,1,1,1,1,1,3,1,1,5,1,1,4,1,1,4,2,1,3,1,5,1,5,1,5,5,1,1,1,1,1
13,p21,Female,18,8,0,0,0,0,0,1,0,0,0,0,2,1,1,1,1,0,51,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,p22,Female,25,7,1,0,0,0,0,3,0,5,0,1,11,0,0,3,7,1,4,5,1,1,4,1,3,1,1,1,1,1,1,1,1,1,5,1,4,1,1,1,1,1,1,1,1,5,1,1,5,5,1,1,1,1,1,1,1,4,4,1,1,1,1,4,1,1,5,1,1,4,3,1,1,1,1,5,1,5,1,5,5,5,1,1,1,1,1,1
15,p23,Female,18,9,2,1,0,0,0,6,0,1,0,2,1,0,0,1,0,0,46,5,1,1,3,3,1,3,1,3,1,1,5,4,5,1,1,2,5,5,4,4,5,1,1,1,1,1,1,1,5,5,1,3,1,1,4,1,1,4,1,1,1,1,1,1,1,1,2,1,1,3,5,1,5,1,3,3,1,5,1,5,1,4,1,5,1,1,1,1
16,p24,Female,18,8,0,0,0,0,0,1,0,0,0,1,1,0,0,6,0,0,41,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1,4,1,1,1,1,1,1
17,p25,Female,18,13,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,19,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,p26,Female,19,13,0,0,0,0,0,4,0,0,0,4,4,0,0,7,0,0,15,5,3,1,4,4,2,3,1,1,1,1,5,4,5,1,1,1,5,1,1,1,5,1,1,1,5,3,1,1,1,1,1,5,1,5,5,5,1,5,1,1,1,1,1,1,3,1,1,4,1,3,1,1,1,1,5,4,1,5,1,5,1,5,1,5,1,1,1,3
19,p27,Female,19,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,5,1,1,1,3,1,1,1,1,1,1,5,4,1,1,1,1,5,1,4,4,5,1,1,1,5,1,1,1,1,1,1,4,1,2,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,1,1,1,5,1,5,1,5,1,1,1,1,1,1
